run_name,state,manifold_steps,admm_rho,lr,epochs,update_rule,test_accuracy,train_accuracy,test_loss,train_loss
manifold_muon-lr0.1-20251007-021350,failed,0,,0.1,5,manifold_muon,,,,
manifold_muon-lr0.1-20251007-021444,finished,0,,0.1,5,manifold_muon,52.32,65.218,1.3631597757339478,1.089162410521994
manifold_muon-admm-rho2.0-lr0.1-20251007-012341,finished,1,2.0,0.1,5,manifold_muon,52.53,64.848,1.3679468035697937,1.0936644271928435
manifold_muon-admm-rho4.0-lr0.1-20251007-012425,finished,1,4.0,0.1,5,manifold_muon,52.53,64.848,1.3679468035697937,1.0936644271928435
manifold_muon-admm-rho8.0-lr0.1-20251007-012429,finished,1,8.0,0.1,5,manifold_muon,52.53,64.848,1.3679468035697937,1.0936644271928435
manifold_muon-admm-rho16.0-lr0.1-20251007-012507,finished,1,16.0,0.1,5,manifold_muon,52.53,64.848,1.3679468035697937,1.0936644271928435
manifold_muon-lr0.1-20251007-012341,finished,1,,0.1,5,manifold_muon,52.32,65.218,1.3631597757339478,1.089162410521994
manifold_muon-admm-rho2.0-lr0.1-20251007-012550,finished,5,2.0,0.1,5,manifold_muon,52.11,65.712,1.3670849323272705,1.0784132918533014
manifold_muon-admm-rho4.0-lr0.1-20251007-012609,finished,5,4.0,0.1,5,manifold_muon,52.88,66.058,1.365930199623108,1.0745248940526222
manifold_muon-admm-rho8.0-lr0.1-20251007-012653,finished,5,8.0,0.1,5,manifold_muon,52.66,66.056,1.3615036487579346,1.0776675136721865
manifold_muon-admm-rho16.0-lr0.1-20251007-012704,finished,5,16.0,0.1,5,manifold_muon,52.62,65.698,1.3614497542381288,1.0846656244628283
manifold_muon-lr0.1-20251007-012514,finished,5,,0.1,5,manifold_muon,52.41,65.218,1.3666227102279662,1.0890494779664643
manifold_muon-admm-rho2.0-lr0.1-20251007-012801,finished,10,2.0,0.1,5,manifold_muon,52.43,65.922,1.3652493834495545,1.0782831591002795
manifold_muon-admm-rho4.0-lr0.1-20251007-012909,finished,10,4.0,0.1,5,manifold_muon,52.82,65.92,1.363974356651306,1.0814912075899086
manifold_muon-admm-rho8.0-lr0.1-20251007-012919,finished,10,8.0,0.1,5,manifold_muon,52.47,65.804,1.3656057476997376,1.0800986995502395
manifold_muon-admm-rho16.0-lr0.1-20251007-013025,finished,10,16.0,0.1,5,manifold_muon,52.61,65.874,1.3618096947669982,1.0798627138137815
manifold_muon-lr0.1-20251007-012758,finished,10,,0.1,5,manifold_muon,52.55,65.69,1.360702109336853,1.0820126849777845
manifold_muon-admm-rho2.0-lr0.1-20251007-013145,finished,25,2.0,0.1,5,manifold_muon,52.69,65.678,1.3685288548469543,1.0818509423002904
manifold_muon-admm-rho4.0-lr0.1-20251007-013244,finished,25,4.0,0.1,5,manifold_muon,52.58,65.668,1.3608251452445983,1.0815864898720566
manifold_muon-admm-rho8.0-lr0.1-20251007-013400,finished,25,8.0,0.1,5,manifold_muon,52.85,65.846,1.3685567259788514,1.0803026617789755
manifold_muon-admm-rho16.0-lr0.1-20251007-013457,finished,25,16.0,0.1,5,manifold_muon,52.72,65.854,1.360468602180481,1.0767540493789984
manifold_muon-lr0.1-20251007-013047,finished,25,,0.1,5,manifold_muon,52.46,65.65,1.363613450527191,1.0804800889929946
manifold_muon-admm-rho2.0-lr0.1-20251007-013715,finished,50,2.0,0.1,5,manifold_muon,52.83,65.688,1.3638169527053834,1.0804769044019735
manifold_muon-admm-rho4.0-lr0.1-20251007-013927,finished,50,4.0,0.1,5,manifold_muon,52.64,65.744,1.3675503492355348,1.0789537819064394
manifold_muon-admm-rho8.0-lr0.1-20251007-014108,finished,50,8.0,0.1,5,manifold_muon,52.55,65.376,1.367036998271942,1.0823121606087198
manifold_muon-admm-rho16.0-lr0.1-20251007-014324,finished,50,16.0,0.1,5,manifold_muon,53.07,65.712,1.3566970705986023,1.083300595380822
manifold_muon-lr0.1-20251007-013620,finished,50,,0.1,5,manifold_muon,52.61,65.952,1.363892817497253,1.077293483578429
manifold_muon-admm-rho2.0-lr0.1-20251007-014719,finished,100,2.0,0.1,5,manifold_muon,52.59,65.752,1.363050353527069,1.0828845014377515
manifold_muon-admm-rho4.0-lr0.1-20251007-015104,finished,100,4.0,0.1,5,manifold_muon,52.88,65.94,1.3595999836921693,1.0808179475823227
manifold_muon-admm-rho8.0-lr0.1-20251007-015451,finished,100,8.0,0.1,5,manifold_muon,52.65,65.934,1.362379002571106,1.078379601848369
manifold_muon-admm-rho16.0-lr0.1-20251007-015806,finished,100,16.0,0.1,5,manifold_muon,52.41,65.848,1.3641777396202088,1.0808734236931314
manifold_muon-lr0.1-20251007-014501,finished,100,,0.1,5,manifold_muon,52.34,65.848,1.3636166214942933,1.077868515131425
